Episode 1, Total Reward: -143.64872023017114, Policy Loss: -2.3976807594299316, Alpha Loss: 4.954935550689697
Episode 2, Total Reward: -118.70741016498907, Policy Loss: -3.910060167312622, Alpha Loss: 4.188451766967773
Episode 3, Total Reward: -334.7264220250148, Policy Loss: -5.942078590393066, Alpha Loss: 3.8827168941497803
Episode 4, Total Reward: -352.2418667658658, Policy Loss: -7.417601585388184, Alpha Loss: 3.575368881225586
Episode 5, Total Reward: -306.200834819921, Policy Loss: -8.460752487182617, Alpha Loss: 3.362731456756592
Episode 6, Total Reward: -24.374974577682664, Policy Loss: -10.107425689697266, Alpha Loss: 3.0406806468963623
Episode 7, Total Reward: -233.6757127018692, Policy Loss: -11.919800758361816, Alpha Loss: 2.796858787536621
Episode 8, Total Reward: -76.21248212196599, Policy Loss: -14.852890014648438, Alpha Loss: 2.3685848712921143
Episode 9, Total Reward: -107.56479802741342, Policy Loss: -21.6179256439209, Alpha Loss: 1.6241649389266968
Episode 10, Total Reward: -107.72226124239107, Policy Loss: -26.407238006591797, Alpha Loss: 1.1548373699188232
Episode 11, Total Reward: -181.36566868185335, Policy Loss: -29.508678436279297, Alpha Loss: 0.8387978076934814
Episode 12, Total Reward: -180.01567894814013, Policy Loss: -29.546022415161133, Alpha Loss: 0.7368850111961365
Episode 13, Total Reward: -282.9928938789026, Policy Loss: -27.687475204467773, Alpha Loss: 0.6285642385482788
Episode 14, Total Reward: -104.79748226321884, Policy Loss: -27.102771759033203, Alpha Loss: 0.6129642128944397
Episode 15, Total Reward: -386.42939023483996, Policy Loss: -24.01434898376465, Alpha Loss: 0.509840726852417
Episode 16, Total Reward: 138.4789335050893, Policy Loss: -22.405561447143555, Alpha Loss: 0.455350399017334
Episode 17, Total Reward: -230.06330261814603, Policy Loss: -21.90096664428711, Alpha Loss: 0.3972248435020447
Episode 18, Total Reward: -395.2136262940386, Policy Loss: -24.49407196044922, Alpha Loss: 0.3238156735897064
Episode 19, Total Reward: -40.153215230355194, Policy Loss: -23.129812240600586, Alpha Loss: 0.23520700633525848
Episode 20, Total Reward: -35.28956509263635, Policy Loss: -21.916826248168945, Alpha Loss: 0.1718212366104126
Episode 21, Total Reward: -40.39298198231174, Policy Loss: -19.571048736572266, Alpha Loss: 0.16452556848526
Episode 22, Total Reward: -92.55163369639973, Policy Loss: -20.46782112121582, Alpha Loss: 0.12062914669513702
Episode 23, Total Reward: -43.31244490160526, Policy Loss: -21.275386810302734, Alpha Loss: 0.08871030062437057
Episode 24, Total Reward: -73.75972915002205, Policy Loss: -20.182981491088867, Alpha Loss: 0.06496727466583252
Episode 25, Total Reward: -73.28112661847017, Policy Loss: -20.624557495117188, Alpha Loss: 0.04794445261359215
Episode 26, Total Reward: -16.24103791450261, Policy Loss: -19.580102920532227, Alpha Loss: 0.035139892250299454
Episode 27, Total Reward: -60.8231495785821, Policy Loss: -21.462871551513672, Alpha Loss: 0.025739040225744247
Episode 28, Total Reward: -44.5757246061711, Policy Loss: -20.47277069091797, Alpha Loss: 0.018960582092404366
Episode 29, Total Reward: -33.85933275744075, Policy Loss: -24.427133560180664, Alpha Loss: 0.013852613978087902
Episode 30, Total Reward: -47.57001614276805, Policy Loss: -19.525833129882812, Alpha Loss: 0.0101869385689497
Episode 31, Total Reward: -21.721260117026365, Policy Loss: -19.469682693481445, Alpha Loss: 0.007468455005437136
Episode 32, Total Reward: -73.69777373564291, Policy Loss: -22.183006286621094, Alpha Loss: 0.005473017692565918
Episode 33, Total Reward: -52.565311651509106, Policy Loss: -24.703994750976562, Alpha Loss: 0.004002860747277737
Episode 34, Total Reward: -71.48176296132216, Policy Loss: -36.557228088378906, Alpha Loss: 0.002941699931398034
Episode 35, Total Reward: -113.42542011754033, Policy Loss: -31.193269729614258, Alpha Loss: 0.0021584616042673588
Episode 36, Total Reward: 5.0854489347346, Policy Loss: -34.738182067871094, Alpha Loss: 0.0020759443286806345
Episode 37, Total Reward: -75.99372833868055, Policy Loss: -45.415157318115234, Alpha Loss: 0.0019993537571281195
Episode 38, Total Reward: -107.83455744464285, Policy Loss: -49.142791748046875, Alpha Loss: 0.0019125925609841943
Episode 39, Total Reward: -115.27962518528852, Policy Loss: -45.129356384277344, Alpha Loss: 0.0018729915609583259
Episode 40, Total Reward: 17.146440020824244, Policy Loss: -56.721126556396484, Alpha Loss: 0.0018286750419065356
Episode 41, Total Reward: -66.78345362578855, Policy Loss: -40.03419494628906, Alpha Loss: 0.0017902918625622988
Episode 42, Total Reward: -73.94334698463636, Policy Loss: -62.70471954345703, Alpha Loss: 0.0017513050697743893
Episode 43, Total Reward: -102.73607585727872, Policy Loss: -42.48421096801758, Alpha Loss: 0.0017067280132323503
Episode 44, Total Reward: -50.212715259033146, Policy Loss: -43.65623474121094, Alpha Loss: 0.0016777743585407734
Episode 45, Total Reward: 25.5987991096072, Policy Loss: -44.929744720458984, Alpha Loss: 0.0016261350829154253
Episode 46, Total Reward: -43.507064510786805, Policy Loss: -55.001976013183594, Alpha Loss: 0.0015595031436532736
Episode 47, Total Reward: 35.36890990556708, Policy Loss: -53.919097900390625, Alpha Loss: 0.0014751158887520432
Episode 48, Total Reward: 117.14703738329779, Policy Loss: -63.61822509765625, Alpha Loss: 0.0010775923728942871
Episode 49, Total Reward: -138.2050933981047, Policy Loss: -73.40403747558594, Alpha Loss: 0.0010373834520578384
Episode 50, Total Reward: 222.08271964057957, Policy Loss: -84.92688751220703, Alpha Loss: 0.0009145760559476912
Episode 51, Total Reward: -278.44420336931125, Policy Loss: -83.06370544433594, Alpha Loss: 0.000865786278154701
Episode 52, Total Reward: -213.54811625728388, Policy Loss: -96.52936553955078, Alpha Loss: 0.0007186513394117355
Episode 53, Total Reward: 76.95769480881506, Policy Loss: -118.48301696777344, Alpha Loss: 0.0005315187736414373
Episode 54, Total Reward: 265.4549578053525, Policy Loss: -125.29132080078125, Alpha Loss: 0.00048504717415198684
Episode 55, Total Reward: -2.5247307264849326, Policy Loss: -131.97091674804688, Alpha Loss: 0.00045532340300269425
Episode 56, Total Reward: 22.348846657032478, Policy Loss: -144.17080688476562, Alpha Loss: 0.00033755158074200153
Episode 57, Total Reward: -144.42593446608328, Policy Loss: -149.86094665527344, Alpha Loss: 0.00029653473757207394
